0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1.55941	-0.138498	1.56135	-0.138671	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1.62681	0.0198085	2.29279	-0.0391358	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
3.89114	-0.133707	2.24294	-0.199299	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
3.96493	0.0729193	2.40211	0.0983368	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
6.85884	0.415368	3.35696	0.486138	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
6.68984	0.438135	2.64459	0.33052	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
9.07979	0.594461	2.14622	0.0333683	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
9.09352	0.66707	2.39313	0.179271	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
11.5746	1.661	2.57723	1.57202	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
11.5242	1.62215	2.37525	1.4605	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
13.5952	2.3176	1.76001	0.139289	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
13.6886	2.29571	2.31346	0.219216	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
16.6394	2.89994	3.56605	0.904506	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
16.4804	2.87384	2.86782	0.780504	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
19.0137	3.70531	2.22068	0.854128	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
19.0873	3.72557	2.37129	0.893778	19.363	3.87122	18.923	3.74161	2.61382	0.95648
21.3324	4.73129	2.13178	1.07951	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
21.4289	4.74955	2.49642	1.1743	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
24.0774	5.57216	2.77279	0.580597	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
24.1858	5.60638	3.00146	0.64949	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
26.6103	6.95623	1.92356	1.81531	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
26.6695	6.96816	2.35978	1.96116	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
29.5817	8.09366	3.37613	0.564289	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
29.5272	8.08328	3.09194	0.482645	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
31.9471	9.87106	1.87882	2.6742	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
31.9328	9.85825	1.98828	2.71347	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
34.6105	10.712	3.18475	-0.42846	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
34.6935	10.74	3.28649	-0.39467	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
37.147	12.0762	1.80759	2.51488	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
37.2626	12.1143	2.20854	2.65452	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
40.3215	13.4755	3.74828	0.497306	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
